,city,st_short,st_long,county,city_alias
1430,Rio Grande,PR,Puerto Rico,RIO GRANDE,URB Los Arboles
1431,Rio Grande,PR,Puerto Rico,RIO GRANDE,URB Ponderosa
1432,Rio Grande,PR,Puerto Rico,RIO GRANDE,Vistas De Rio Grande I
1433,Salinas,PR,Puerto Rico,SALINAS,Bo Santa Ana I
1434,Salinas,PR,Puerto Rico,SALINAS,URB Corales Del Mar
1435,Salinas,PR,Puerto Rico,SALINAS,Bo Playita
1436,Salinas,PR,Puerto Rico,SALINAS,URB Marbella
1437,Salinas,PR,Puerto Rico,SALINAS,Est De Evelymar
1438,Salinas,PR,Puerto Rico,SALINAS,Ext Carmen
1439,Salinas,PR,Puerto Rico,SALINAS,Jard De Salinas
1440,Salinas,PR,Puerto Rico,SALINAS,Villa Cofresi
1441,Salinas,PR,Puerto Rico,SALINAS,Villa Natalia
1442,Salinas,PR,Puerto Rico,SALINAS,Bo Coco Viejo
1443,Salinas,PR,Puerto Rico,SALINAS,Sect Campito
1444,Salinas,PR,Puerto Rico,SALINAS,Bo Santa Ana Iii
1445,Salinas,PR,Puerto Rico,SALINAS,URB Las Antillas
1446,Salinas,PR,Puerto Rico,SALINAS,Bo Coco Nuevo
1447,Salinas,PR,Puerto Rico,SALINAS,Ext Monserrate
1448,Salinas,PR,Puerto Rico,SALINAS,URB La Arboleda
1449,Salinas,PR,Puerto Rico,SALINAS,Bo Santa Ana Ii
1450,Salinas,PR,Puerto Rico,SALINAS,URB La Carmen
1451,Salinas,PR,Puerto Rico,SALINAS,URB Monserrate
1452,Salinas,PR,Puerto Rico,SALINAS,URB Salimar
1453,Salinas,PR,Puerto Rico,SALINAS,Salinas
1454,Salinas,PR,Puerto Rico,SALINAS,Brisas De Evelymar
1455,Salinas,PR,Puerto Rico,SALINAS,URB Las Mercedes
1456,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Bosque Llano
1457,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Jard De San Lorenzo
1458,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Paseo De San Lorenzo
1459,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Villas Del Hato
1460,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Ext Tamarindo
1461,San Lorenzo,PR,Puerto Rico,SAN LORENZO,URB Los Caminos
1462,San Lorenzo,PR,Puerto Rico,SAN LORENZO,URB Los Flamboyanes
1463,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Paseo De Las Flores
1464,San Lorenzo,PR,Puerto Rico,SAN LORENZO,URB San Lorenzo Valley
1465,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Bda Roosevelt
1466,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Ext Jard De San Lorenzo
1467,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Hacienda Florida
1468,San Lorenzo,PR,Puerto Rico,SAN LORENZO,URB Portal Del Sol
1469,San Lorenzo,PR,Puerto Rico,SAN LORENZO,URB Santa Clara
1470,San Lorenzo,PR,Puerto Rico,SAN LORENZO,San Lorenzo
1471,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Alt De San Lorenzo
1472,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Jard De Cerro Gordo
1473,San Lorenzo,PR,Puerto Rico,SAN LORENZO,URB Masso
1474,San Lorenzo,PR,Puerto Rico,SAN LORENZO,URB Monte Rey
1475,San Lorenzo,PR,Puerto Rico,SAN LORENZO,URB Munoz Marin
1476,San Lorenzo,PR,Puerto Rico,SAN LORENZO,URB Tamarindo 1
1477,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Vistas De San Lorenzo
1478,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Ciudad Masso
1479,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Ext Bda Roosevelt
1480,San Lorenzo,PR,Puerto Rico,SAN LORENZO,Ext Alt De San Lorenzo
1481,San Lorenzo,PR,Puerto Rico,SAN LORENZO,URB Savannah Real
1482,Santa Isabel,PR,Puerto Rico,SANTA ISABEL,Est De Santa Isabel
1483,Santa Isabel,PR,Puerto Rico,SANTA ISABEL,Praderas Del Sur
1484,Santa Isabel,PR,Puerto Rico,SANTA ISABEL,Alt De Santa Isabel
1485,Santa Isabel,PR,Puerto Rico,SANTA ISABEL,Paseo Jacaranda
1486,Santa Isabel,PR,Puerto Rico,SANTA ISABEL,URB Alborada
1487,Santa Isabel,PR,Puerto Rico,SANTA ISABEL,Santa Isabel
1488,Santa Isabel,PR,Puerto Rico,SANTA ISABEL,Brisas Del Prado
1489,Santa Isabel,PR,Puerto Rico,SANTA ISABEL,Ext Bda Monserrate
1490,Santa Isabel,PR,Puerto Rico,SANTA ISABEL,Valle Costero
1491,Santa Isabel,PR,Puerto Rico,SANTA ISABEL,Hacienda Concordia
1492,Santa Isabel,PR,Puerto Rico,SANTA ISABEL,Villa Serena
1493,Vieques,PR,Puerto Rico,VIEQUES,Bo Coffi
1494,Vieques,PR,Puerto Rico,VIEQUES,URB Isabel Ii
1495,Vieques,PR,Puerto Rico,VIEQUES,Vieques
1496,Vieques,PR,Puerto Rico,VIEQUES,Bo Tortuguero
1497,Vieques,PR,Puerto Rico,VIEQUES,URB Lucila Franco
1498,Villalba,PR,Puerto Rico,VILLALBA,URB La Vega
1499,Villalba,PR,Puerto Rico,VILLALBA,Villa Alba
1500,Villalba,PR,Puerto Rico,VILLALBA,Villalba
1501,Villalba,PR,Puerto Rico,VILLALBA,Vista Alegre
1502,Villalba,PR,Puerto Rico,VILLALBA,Alt De Villalba
1503,Villalba,PR,Puerto Rico,VILLALBA,Est De Mayoral
1504,Villalba,PR,Puerto Rico,VILLALBA,Vista Bella
1505,Villalba,PR,Puerto Rico,VILLALBA,Portales Del Alba
1506,Villalba,PR,Puerto Rico,VILLALBA,Alts Del Alba
1507,Villalba,PR,Puerto Rico,VILLALBA,URB Las Alondras
1508,Villalba,PR,Puerto Rico,VILLALBA,Villa Laura
1509,Villalba,PR,Puerto Rico,VILLALBA,URB Tierra Santa
1510,Yabucoa,PR,Puerto Rico,YABUCOA,Yabucoa
1511,Yabucoa,PR,Puerto Rico,YABUCOA,Alts De Terralinda
1512,Yabucoa,PR,Puerto Rico,YABUCOA,Jard De Yabucoa
1513,Yabucoa,PR,Puerto Rico,YABUCOA,Villa Hilda
1514,Yabucoa,PR,Puerto Rico,YABUCOA,URB Los Angeles
1515,Yabucoa,PR,Puerto Rico,YABUCOA,Villas De Buenaventura
1516,Yabucoa,PR,Puerto Rico,YABUCOA,Ext Villas De Buenaventura
1517,Yabucoa,PR,Puerto Rico,YABUCOA,URB Jaime C Rodriguez
1518,Yabucoa,PR,Puerto Rico,YABUCOA,URB Mendez
