,city,link,state,title
24,['Brooklyn'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=best+breakfast&rflfq=1&num=10&uule=w+CAQQCFISCW0lkjbYgeaJEWhhlLxKos6N&lsspp=CVHNEgYKcFO5&rlt=Best+breakfasts&owsq=Brooklyn,+Connecticut+Restaurants&ved=2ahUKEwil4q_Ex4XuAhWLGFkFHd8SBKsQ9s8CMAl6BAgAEAw",['Connecticut'],Best breakfasts
25,['Brooklyn'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=pizza+restaurant&rflfq=1&num=10&uule=w+CAQQCFISCW0lkjbYgeaJEWhhlLxKos6N&lsspp=CXyopT_8-x9Y&rlt=Pizza+restaurants&owsq=Brooklyn,+Connecticut+Restaurants&ved=2ahUKEwil4q_Ex4XuAhWLGFkFHd8SBKsQ9s8CMAp6BAgAEA4",['Connecticut'],Pizza restaurants
26,['Brooklyn'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=cheap+restaurants+for+a+group&rflfq=1&num=10&uule=w+CAQQCFISCW0lkjbYgeaJEWhhlLxKos6N&lsspp=CZLkxmUDEvPF&rlt=Cheap+spots+for+groups&owsq=Brooklyn,+Connecticut+Restaurants&ved=2ahUKEwil4q_Ex4XuAhWLGFkFHd8SBKsQ9s8CMAt6BAgAEBA",['Connecticut'],Cheap spots for groups
27,['Brooklyn'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=cheap+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCW0lkjbYgeaJEWhhlLxKos6N&lsspp=CQGkDZpjFUF8&rlt=Cheap+eats&owsq=Brooklyn,+Connecticut+Restaurants&ved=2ahUKEwil4q_Ex4XuAhWLGFkFHd8SBKsQ9s8CMAx6BAgAEBI",['Connecticut'],Cheap eats
28,['Brooklyn'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=warm+and+cozy+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCW0lkjbYgeaJEWhhlLxKos6N&lsspp=CTbtXwYxFyr_&rlt=Cozy+restaurants&owsq=Brooklyn,+Connecticut+Restaurants&ved=2ahUKEwil4q_Ex4XuAhWLGFkFHd8SBKsQ9s8CMA16BAgAEBQ",['Connecticut'],Cozy restaurants
29,['Brooklyn'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=american+restaurant&rflfq=1&num=10&uule=w+CAQQCFISCW0lkjbYgeaJEWhhlLxKos6N&lsspp=Cc6KcPfGPgQB&rlt=American+restaurants&owsq=Brooklyn,+Connecticut+Restaurants&ved=2ahUKEwil4q_Ex4XuAhWLGFkFHd8SBKsQ9s8CMA56BAgAEBY",['Connecticut'],American restaurants
30,['Burlington'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=takeout+food&rflfq=1&num=10&uule=w+CAQQCFISCfM0mSjmpOeJEcmFk6lmSZz4&lsspp=CQCvCAkrahus&rlt=Takeout&owsq=Burlington,+Connecticut+Restaurants&ved=2ahUKEwjI3vv_yYXuAhXbFVkFHRIZBekQ9s8CMAV6BAgAEAQ",['Connecticut'],Takeout
31,['Burlington'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=Delivery+Food&rflfq=1&num=10&uule=w+CAQQCFISCfM0mSjmpOeJEcmFk6lmSZz4&lsspp=&rlt=Delivery&owsq=Burlington,+Connecticut+Restaurants&ved=2ahUKEwjI3vv_yYXuAhXbFVkFHRIZBekQ9s8CMAZ6BAgAEAY",['Connecticut'],Delivery
32,['Burlington'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=warm+and+cozy+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCfM0mSjmpOeJEcmFk6lmSZz4&lsspp=CdAhQKK2JWxN&rlt=Cozy+restaurants&owsq=Burlington,+Connecticut+Restaurants&ved=2ahUKEwjI3vv_yYXuAhXbFVkFHRIZBekQ9s8CMAd6BAgAEAg",['Connecticut'],Cozy restaurants
33,['Burlington'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=pizza+restaurant&rflfq=1&num=10&uule=w+CAQQCFISCfM0mSjmpOeJEcmFk6lmSZz4&lsspp=CeQ1XPPYWFpC&rlt=Pizza+restaurants&owsq=Burlington,+Connecticut+Restaurants&ved=2ahUKEwjI3vv_yYXuAhXbFVkFHRIZBekQ9s8CMAh6BAgAEAo",['Connecticut'],Pizza restaurants
34,['Burlington'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=best+restaurants&rflfq=1&num=10&uule=w+CAQQCFISCfM0mSjmpOeJEcmFk6lmSZz4&lsspp=CZIHhYoeuAMF&rlt=Best+places+to+eat&owsq=Burlington,+Connecticut+Restaurants&ved=2ahUKEwjI3vv_yYXuAhXbFVkFHRIZBekQ9s8CMAl6BAgAEAw",['Connecticut'],Best places to eat
35,['Burlington'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=family-friendly+dinner&rflfq=1&num=10&uule=w+CAQQCFISCfM0mSjmpOeJEcmFk6lmSZz4&lsspp=CddnY9TGP8Ry&rlt=Best+dinners+with+kids&owsq=Burlington,+Connecticut+Restaurants&ved=2ahUKEwjI3vv_yYXuAhXbFVkFHRIZBekQ9s8CMAp6BAgAEA4",['Connecticut'],Best dinners with kids
36,['Burlington'],"google.com/search?sa=X&biw=1200&bih=542&tbm=lcl&q=great+cocktails&rflfq=1&num=10&uule=w+CAQQCFISCfM0mSjmpOeJEcmFk6lmSZz4&lsspp=CQZ8dp0kjn05&rlt=Great+cocktails&owsq=Burlington,+Connecticut+Restaurants&ved=2ahUKEwjI3vv_yYXuAhXbFVkFHRIZBekQ9s8CMAt6BAgAEBA",['Connecticut'],Great cocktails
